Timestamp,load1,load2,load3
11:13:32.857,2,-6,0
11:13:32.956,5,-3,5
11:13:33.034,-16,0,0
11:13:33.148,-9,2,6
11:13:33.240,13,1,6
11:13:33.334,-4,-3,0
11:13:33.431,-3,8,3
11:13:33.517,7,1,1
11:13:33.613,-1,3,6
11:13:33.714,14,6,-2
11:13:33.811,0,-1,-1
11:13:33.906,0,1,3
11:13:34.001,-1,1,4
11:13:34.095,8,8,7
11:13:34.181,1,0,3
11:13:34.277,-17,2,5
11:13:34.380,-13,1,6
11:13:34.455,-6,-3,5
11:13:34.549,-7,6,2
11:13:34.646,2,4,4
11:13:34.742,-10,3,3
11:13:34.841,-5,3,5
11:13:34.939,4,1,2
11:13:35.041,-13,-7,1
11:13:35.130,-16,-2,3
11:13:35.225,4,7,103
11:13:35.323,14,2,98
11:13:35.418,-7,2,117
11:13:35.516,10,2,120
11:13:35.628,-12,1,136
11:13:35.704,-5,13,161
11:13:35.794,-10,24,157
11:13:35.910,10,32,154
11:13:36.001,21,42,155
11:13:36.101,27,55,107
11:13:36.194,29,74,6
11:13:36.295,59,40,4
11:13:36.394,67,34,4
11:13:36.490,66,48,4
11:13:36.582,40,47,7
11:13:36.675,15,41,3
11:13:36.772,1,23,6
11:13:36.872,-5,1,1
11:13:36.966,17,4,1
11:13:37.060,-7,4,4
11:13:37.161,-13,1,4
11:13:37.234,-5,2,7
11:13:37.339,-3,-3,90
11:13:37.441,-9,0,120
11:13:37.534,-7,0,146
11:13:37.627,3,13,178
11:13:37.736,9,31,187
11:13:37.826,36,39,151
11:13:37.911,48,53,103
11:13:38.016,82,41,4
11:13:38.128,73,30,0
11:13:38.210,82,35,5
11:13:38.306,89,35,1
11:13:38.403,58,19,3
11:13:38.501,14,28,-2
11:13:38.605,11,3,5
11:13:38.685,14,-2,0
11:13:38.786,4,1,3
11:13:38.881,-12,0,0
11:13:38.966,-6,1,6
11:13:39.078,-5,2,4
11:13:39.163,-10,1,110
11:13:39.253,0,0,127
11:13:39.368,3,11,168
11:13:39.461,-8,11,162
11:13:39.546,13,27,168
11:13:39.666,23,33,157
11:13:39.742,53,47,151
11:13:39.844,71,50,78
11:13:39.945,60,57,4
11:13:40.042,71,50,5
11:13:40.143,80,28,3
11:13:40.226,84,29,6
11:13:40.330,62,22,3
11:13:40.412,-1,30,6
11:13:40.525,-4,12,3
11:13:40.605,0,2,6
11:13:40.712,-1,-2,4
11:13:40.788,-2,-2,-1
11:13:40.884,-2,1,3
11:13:40.988,3,2,1
11:13:41.075,5,3,133
11:13:41.192,-5,-3,137
11:13:41.282,-1,9,181
11:13:41.378,16,19,205
11:13:41.461,7,29,191
11:13:41.590,30,42,188
11:13:41.675,59,37,163
11:13:41.773,82,55,110
11:13:41.867,68,45,1
11:13:41.968,91,39,5
11:13:42.058,66,24,0
11:13:42.160,62,24,7
11:13:42.243,18,31,2
11:13:42.333,1,31,4
11:13:42.441,3,4,0
11:13:42.531,18,-4,-3
11:13:42.633,-7,-2,5
11:13:42.723,14,5,2
11:13:42.816,3,2,4
11:13:42.902,2,-1,112
11:13:42.996,-3,2,126
11:13:43.089,7,10,151
11:13:43.195,4,19,164
11:13:43.300,27,22,165
11:13:43.388,51,32,134
11:13:43.490,60,46,80
11:13:43.588,61,57,4
11:13:43.672,74,39,0
11:13:43.782,70,24,0
11:13:43.874,73,29,0
11:13:43.969,44,40,4
11:13:44.062,3,38,-1
11:13:44.162,-8,6,3
11:13:44.255,-8,0,-2
11:13:44.357,-1,-1,3
11:13:44.463,3,-5,-3
11:13:44.550,-3,4,4
11:13:44.638,-7,-2,91
11:13:44.731,-57,1,120
11:13:44.828,2,2,153
11:13:44.924,3,10,174
11:13:45.020,7,19,182
11:13:45.115,46,39,153
11:13:45.207,57,36,109
11:13:45.316,70,49,5
11:13:45.410,71,50,-3
11:13:45.506,69,41,4
11:13:45.605,71,30,5
11:13:45.702,52,47,0
11:13:45.808,21,46,6
11:13:45.902,-2,40,4
11:13:45.974,1,27,6
11:13:46.075,1,1,3
11:13:46.178,-1,0,6
11:13:46.260,-1,5,5
11:13:46.353,-3,-6,5
11:13:46.470,-6,3,102
11:13:46.552,-5,4,116
11:13:46.657,-8,-1,144
11:13:46.761,4,17,167
11:13:46.836,25,20,156
11:13:46.953,22,32,145
11:13:47.054,55,42,98
11:13:47.140,82,25,0
11:13:47.225,102,25,4
11:13:47.332,136,27,5
11:13:47.433,131,12,5
11:13:47.534,132,12,3
11:13:47.612,128,3,-1
11:13:47.728,102,10,2
11:13:47.815,11,27,3
11:13:47.905,16,3,6
11:13:48.012,2,2,7
11:13:48.089,4,3,2
11:13:48.192,-5,-2,0
11:13:48.285,-5,1,7
11:13:48.380,-15,3,0
11:13:48.475,4,0,85
11:13:48.561,-4,-3,109
11:13:48.667,-11,2,171
11:13:48.771,-3,19,197
11:13:48.862,-11,23,202
11:13:48.982,18,36,207
11:13:49.058,24,48,188
11:13:49.157,54,54,148
11:13:49.247,80,75,4
11:13:49.353,81,54,4
11:13:49.456,71,40,-1
11:13:49.541,71,30,1
11:13:49.653,57,42,7
11:13:49.749,32,47,-1
11:13:49.829,-3,24,3
11:13:49.932,-8,2,7
11:13:50.017,-11,0,5
11:13:50.116,0,0,3
11:13:50.213,6,-3,-2
11:13:50.309,-14,1,60
11:13:50.410,2,-2,118
11:13:50.507,-2,1,138
11:13:50.591,-4,6,179
11:13:50.692,19,26,184
11:13:50.781,17,23,179
11:13:50.885,57,36,164
11:13:50.984,62,42,134
11:13:51.086,72,48,56
11:13:51.181,70,47,6
11:13:51.279,74,38,5
11:13:51.371,66,23,2
11:13:51.471,26,26,7
11:13:51.554,32,31,2
11:13:51.659,19,42,7
11:13:51.753,-5,13,1
11:13:51.850,-10,-3,6
11:13:51.959,3,-2,-1
11:13:52.036,-7,-3,3
11:13:52.136,-8,-2,1
11:13:52.225,2,1,87
11:13:52.328,-11,1,109
11:13:52.425,-1,0,146
11:13:52.530,1,2,182
11:13:52.608,8,19,195
11:13:52.729,29,36,180
11:13:52.809,52,45,183
11:13:52.906,67,51,163
11:13:53.008,58,46,160
11:13:53.099,73,41,157
11:13:53.200,80,45,159
11:13:53.314,84,45,179
11:13:53.416,70,48,191
11:13:53.490,52,49,201
11:13:53.590,46,54,212
11:13:53.691,35,57,227
11:13:53.783,60,43,217
11:13:53.883,70,30,233
11:13:53.982,90,32,230
11:13:54.098,101,32,232
11:13:54.185,91,32,232
11:13:54.278,89,31,218
11:13:54.376,80,42,228
11:13:54.473,75,35,227
11:13:54.574,64,50,235
11:13:54.662,55,40,223
11:13:54.769,56,37,228
11:13:54.865,64,33,242
11:13:55.017,102,25,247
11:13:55.089,109,22,264
11:13:55.169,146,14,266
11:13:55.258,137,18,245
11:13:55.353,139,10,236
11:13:55.452,121,16,238
11:13:55.603,114,12,245
11:13:55.683,97,30,239
11:13:55.774,87,32,244
11:13:55.868,78,34,250
11:13:55.962,68,43,226
11:13:56.048,26,43,240
11:13:56.147,-3,65,221
11:13:56.246,8,70,206
11:13:56.341,-1,71,194
11:13:56.436,0,62,184
11:13:56.538,3,71,203
11:13:56.634,39,56,228
11:13:56.743,54,39,246
11:13:56.842,20,52,231
11:13:56.923,54,68,193
11:13:57.024,93,59,161
11:13:57.111,114,23,181
11:13:57.223,66,28,247
11:13:57.329,9,21,292
11:13:57.410,12,11,333
11:13:57.509,6,11,321
11:13:57.614,4,12,329
11:13:57.721,-10,16,341
11:13:57.816,0,30,312
11:13:57.906,0,44,261
11:13:58.009,18,53,222
11:13:58.106,32,70,193
11:13:58.206,46,70,178
11:13:58.286,74,51,204
11:13:58.393,65,40,222
11:13:58.489,56,51,250
11:13:58.575,5,52,233
11:13:58.687,5,70,229
11:13:58.782,7,66,224
11:13:58.868,-4,45,148
11:13:58.974,-3,44,72
11:13:59.069,2,38,69
11:13:59.162,-4,37,68
11:13:59.266,-3,41,73
11:13:59.370,7,51,111
11:13:59.448,-1,68,183
11:13:59.546,-6,74,203
11:13:59.652,0,79,195
11:13:59.760,3,70,200
11:13:59.839,13,69,220
11:13:59.955,10,60,241
11:14:00.043,12,28,272
11:14:00.151,37,22,268
11:14:00.225,28,36,260
11:14:00.331,48,35,262
11:14:00.437,85,23,294
11:14:00.527,69,33,272
11:14:00.625,21,44,255
11:14:00.716,51,47,245
11:14:00.827,79,41,255
11:14:00.933,66,47,250
11:14:01.029,33,55,228
11:14:01.106,24,68,234
11:14:01.224,25,62,222
11:14:01.305,3,77,233
11:14:01.405,2,68,217
11:14:01.510,4,74,222
11:14:01.610,-6,78,230
11:14:01.712,0,73,216
11:14:01.791,22,56,240
11:14:01.895,48,38,253
11:14:02.010,68,28,262
11:14:02.103,69,35,250
11:14:02.190,92,32,256
11:14:02.292,96,25,264
11:14:02.393,95,30,263
11:14:02.471,79,28,248
11:14:02.576,102,24,266
11:14:02.677,115,22,256
11:14:02.782,116,20,258
11:14:02.869,105,24,272
11:14:02.971,98,22,273
11:14:03.075,44,39,286
11:14:03.183,16,42,257
11:14:03.263,13,51,249
11:14:03.364,19,57,256
11:14:03.462,16,65,249
11:14:03.559,22,75,218
11:14:03.654,22,70,232
11:14:03.747,29,66,230
11:14:03.858,7,77,251
11:14:03.940,20,62,234
11:14:04.044,9,70,2
