Timestamp,Distance
16:08:58.958,38.93
16:08:59.077,38.11
16:08:59.204,38.11
16:08:59.322,37.3
16:08:59.469,38.11
16:08:59.574,38.0
16:08:59.710,38.52
16:08:59.820,39.25
16:08:59.963,38.51
16:09:00.070,39.68
16:09:00.215,37.3
16:09:00.319,38.0
16:09:00.442,38.51
16:09:00.576,38.01
16:09:00.708,36.84
16:09:00.825,37.3
16:09:00.941,43.42
16:09:01.075,37.13
16:09:01.203,43.86
16:09:01.311,43.23
16:09:01.444,42.82
16:09:01.576,44.85
16:09:01.704,44.42
16:09:01.833,44.93
16:09:01.947,44.95
16:09:02.082,44.93
16:09:02.199,23.44
16:09:02.321,31.21
16:09:02.443,29.51
16:09:02.564,30.33
16:09:02.696,30.7
16:09:02.824,30.01
16:09:02.944,26.91
16:09:03.070,25.76
16:09:03.195,23.56
16:09:03.339,20.57
16:09:03.426,19.98
16:09:03.561,17.6
16:09:03.681,12.92
16:09:03.806,12.12
16:09:03.926,14.14
16:09:04.046,18.31
16:09:04.162,19.82
16:09:04.299,21.98
16:09:04.425,25.28
16:09:04.554,25.5
16:09:04.668,26.78
16:09:04.801,45.65
16:09:04.918,45.32
16:09:05.034,45.71
16:09:05.156,45.32
16:09:05.294,45.32
16:09:05.409,45.22
16:09:05.548,45.19
16:09:05.674,45.2
16:09:05.800,45.19
16:09:05.913,46.51
16:09:06.039,26.64
16:09:06.176,24.14
16:09:06.283,22.2
16:09:06.420,19.87
16:09:06.524,17.49
16:09:06.665,14.72
16:09:06.787,12.63
16:09:06.911,13.38
16:09:07.037,14.93
16:09:07.142,17.09
16:09:07.282,19.69
16:09:07.390,23.26
16:09:07.513,26.86
16:09:07.651,26.27
16:09:07.779,26.91
16:09:07.895,28.03
16:09:08.023,45.22
16:09:08.152,46.05
16:09:08.265,45.22
16:09:08.379,45.24
16:09:08.512,45.22
16:09:08.629,45.75
16:09:08.775,46.6
16:09:08.875,29.51
16:09:09.018,27.59
16:09:09.125,26.57
16:09:09.248,23.94
16:09:09.397,21.3
16:09:09.495,19.31
16:09:09.636,14.88
16:09:09.739,13.99
16:09:09.880,16.0
16:09:09.995,18.26
16:09:10.110,20.76
16:09:10.235,26.47
16:09:10.368,109.28
16:09:10.489,26.83
16:09:10.632,27.64
16:09:10.750,45.61
16:09:10.877,45.61
16:09:11.026,45.71
16:09:11.129,45.73
16:09:11.245,45.29
16:09:11.374,46.16
16:09:11.497,46.51
16:09:11.610,26.52
16:09:11.735,26.06
16:09:11.870,23.14
16:09:12.002,21.1
16:09:12.133,17.44
16:09:12.243,13.55
16:09:12.352,11.27
16:09:12.490,11.82
16:09:12.614,14.76
16:09:12.737,18.53
16:09:12.843,22.42
16:09:12.968,24.91
16:09:13.090,27.74
16:09:13.238,27.85
16:09:13.360,29.51
16:09:13.464,46.16
16:09:13.604,45.7
16:09:13.711,46.02
16:09:13.842,45.59
16:09:13.987,46.05
16:09:14.087,65.67
16:09:14.213,26.69
16:09:14.334,25.93
16:09:14.461,24.55
16:09:14.589,22.41
16:09:14.706,20.18
16:09:14.862,16.78
16:09:14.972,14.82
16:09:15.106,15.37
16:09:15.207,18.05
16:09:15.325,22.17
16:09:15.444,23.32
16:09:15.590,26.16
16:09:15.701,27.39
16:09:15.820,27.18
16:09:15.958,29.51
16:09:16.082,46.05
16:09:16.210,46.14
16:09:16.329,45.75
16:09:16.443,46.14
16:09:16.577,46.14
16:09:16.699,45.75
16:09:16.817,25.82
16:09:16.941,25.45
16:09:17.063,26.37
16:09:17.189,23.12
16:09:17.321,20.28
16:09:17.431,20.49
16:09:17.569,14.2
16:09:17.866,3161.71
16:09:17.988,21.4
16:09:18.121,25.84
16:09:18.247,26.86
16:09:18.370,27.35
16:09:18.492,45.61
16:09:18.611,45.2
16:09:18.753,46.07
16:09:18.881,44.81
16:09:19.000,45.31
16:09:19.121,45.29
16:09:19.250,45.31
16:09:19.362,45.2
16:09:19.489,26.2
16:09:19.623,23.72
16:09:19.742,28.03
16:09:19.855,21.9
16:09:19.983,18.7
16:09:20.113,15.01
16:09:20.233,13.14
16:09:20.358,15.45
16:09:20.478,17.14
16:09:20.608,21.13
16:09:20.729,22.1
16:09:20.865,26.35
16:09:20.977,25.81
16:09:21.091,25.99
16:09:21.215,45.65
16:09:21.342,45.2
16:09:21.465,46.05
16:09:21.602,45.63
16:09:21.716,45.19
16:09:21.840,46.16
16:09:21.983,45.31
16:09:22.086,26.81
16:09:22.209,25.25
16:09:22.348,24.99
16:09:22.463,21.85
16:09:22.587,19.57
16:09:22.705,16.93
16:09:22.843,14.26
16:09:22.965,14.04
16:09:23.085,17.8
16:09:23.194,19.26
16:09:23.333,229.33
16:09:23.471,23.72
16:09:23.596,28.59
16:09:23.712,25.76
16:09:23.848,28.05
16:09:23.961,27.59
16:09:24.076,46.07
16:09:24.222,46.48
16:09:24.326,45.61
16:09:24.450,46.05
16:09:24.578,45.65
16:09:24.707,46.12
16:09:24.831,25.38
16:09:24.946,28.05
16:09:25.070,26.1
16:09:25.193,22.29
16:09:25.331,24.84
16:09:25.447,19.87
16:09:25.573,16.58
16:09:25.697,17.99
16:09:25.821,19.7
16:09:25.961,21.59
16:09:26.089,27.35
16:09:26.199,25.64
16:09:26.326,27.05
16:09:26.437,27.37
16:09:26.561,63.65
16:09:26.697,58.04
16:09:26.805,63.09
16:09:26.931,57.19
16:09:27.069,62.8
16:09:27.197,64.06
16:09:27.313,25.65
16:09:27.448,25.5
16:09:27.564,24.07
16:09:27.684,20.08
16:09:27.813,17.44
16:09:27.939,14.4
16:09:28.060,13.19
16:09:28.192,17.61
16:09:28.294,20.74
16:09:28.441,104.35
16:09:28.567,24.12
16:09:28.692,24.68
16:09:28.792,29.07
16:09:28.942,63.55
16:09:29.045,62.78
16:09:29.188,62.8
16:09:29.323,62.39
16:09:29.440,63.55
16:09:29.558,65.69
16:09:29.681,26.61
16:09:29.819,23.0
16:09:29.937,22.36
16:09:30.068,18.85
16:09:30.168,16.68
16:09:30.295,12.89
16:09:30.422,12.78
16:09:30.535,14.52
16:09:30.685,19.77
16:09:30.805,74.63
16:09:30.932,23.21
16:09:31.052,24.97
16:09:31.163,24.17
16:09:31.282,66.08
16:09:31.422,63.1
16:09:31.547,62.29
16:09:31.671,61.98
16:09:31.804,61.97
16:09:31.936,64.07
16:09:32.041,24.99
16:09:32.167,23.31
16:09:32.295,24.65
16:09:32.420,20.11
16:09:32.542,18.75
16:09:32.673,16.86
16:09:32.780,16.37
16:09:32.909,16.78
16:09:33.037,18.29
16:09:33.157,227.72
16:09:33.284,23.82
16:09:33.417,23.66
16:09:33.549,24.12
16:09:33.671,58.02
16:09:33.785,63.1
16:09:33.917,62.31
16:09:34.061,62.29
16:09:34.180,62.29
16:09:34.297,25.7
16:09:34.416,25.09
16:09:34.536,23.66
16:09:34.657,22.51
16:09:34.788,20.23
16:09:34.909,17.65
16:09:35.031,14.03
16:09:35.160,14.06
16:09:35.283,15.66
16:09:35.411,17.85
16:09:35.521,23.32
16:09:35.636,25.36
16:09:35.776,26.62
16:09:35.905,64.82
16:09:36.026,63.1
16:09:36.158,62.8
16:09:36.282,63.24
16:09:36.412,62.8
16:09:36.529,62.29
16:09:36.645,62.29
16:09:36.770,56.37
16:09:36.908,25.23
16:09:37.025,23.12
16:09:37.152,22.36
16:09:37.279,19.98
16:09:37.384,18.56
16:09:37.509,14.89
16:09:37.654,14.6
16:09:37.768,19.11
16:09:37.901,19.58
16:09:38.021,23.83
16:09:38.128,24.14
16:09:38.268,25.5
16:09:38.380,30.18
16:09:38.504,63.56
16:09:38.637,61.88
16:09:38.763,62.7
16:09:38.891,58.02
16:09:39.016,57.19
16:09:39.133,62.68
16:09:39.254,57.63
16:09:39.385,25.4
16:09:39.507,24.58
16:09:39.634,24.79
16:09:39.759,20.94
16:09:39.893,37.77
16:09:40.008,13.63
16:09:40.137,14.65
16:09:40.254,18.05
16:09:40.374,22.39
16:09:40.510,22.51
16:09:40.622,25.09
16:09:40.742,25.4
16:09:40.865,57.22
16:09:41.002,63.14
16:09:41.124,62.68
16:09:41.244,62.7
16:09:41.367,62.7
16:09:41.501,62.7
16:09:41.625,62.8
16:09:41.766,58.04
16:09:41.888,25.76
16:09:41.997,27.13
16:09:42.124,24.28
16:09:42.237,21.79
16:09:42.366,19.06
16:09:42.495,20.26
16:09:42.622,18.8
16:09:42.749,21.64
16:09:42.860,23.22
16:09:42.984,75.65
16:09:43.120,28.48
16:09:43.252,63.95
16:09:43.368,63.55
16:09:43.485,62.39
16:09:43.626,62.37
16:09:43.750,56.76
16:09:43.872,27.32
16:09:44.003,22.05
16:09:44.123,20.98
16:09:44.243,42.93
16:09:44.352,16.58
16:09:44.477,16.03
16:09:44.617,16.73
16:09:44.742,18.56
16:09:44.845,18.96
16:09:44.990,104.74
16:09:45.118,108.43
16:09:45.251,26.32
16:09:45.361,29.95
16:09:45.483,62.78
16:09:45.604,62.78
16:09:45.734,58.04
16:09:45.852,63.14
16:09:45.978,64.4
16:09:46.125,57.63
16:09:46.248,22.81
16:09:46.368,21.74
16:09:46.505,20.08
16:09:46.597,23.17
16:09:46.724,20.49
16:09:46.861,20.43
16:09:46.987,21.28
16:09:47.117,23.17
16:09:47.218,23.92
16:09:47.362,27.32
16:09:47.476,27.44
16:09:47.607,29.61
16:09:47.727,62.68
16:09:47.858,62.7
16:09:47.967,62.39
16:09:48.099,62.37
16:09:48.230,29.72
16:09:48.358,64.5
16:09:48.475,77.5
16:09:48.596,23.66
16:09:48.724,22.3
16:09:48.838,21.69
